qid,answer
1,C
2,C
3,D
4,D
5,C
6,D
7,C
8,B
9,D
10,B
11,A
12,B
13,B
14,D
15,A
16,A
17,D
18,D
19,A
20,C
21,D
22,A
23,B
24,C
25,B
26,B
27,B
28,A
29,C
30,B
31,D
32,B
33,C
34,D
35,C
36,D
37,B
38,D
39,B
40,A
41,A
42,B
43,A
44,D
45,A
46,B
47,D
48,C
49,A
50,A
51,D
52,D
53,B
54,D
55,A
56,D
57,C
58,A
59,A
60,B
61,B
62,C
63,C
64,C
65,D
66,A
67,B
68,A
69,A
70,B
71,C
72,D
73,B
74,D
75,D
76,A
77,C
78,C
79,D
80,B
81,B
82,B
83,C
84,D
85,C
86,C
87,B
88,C
89,C
90,C
91,D
92,D
93,A
94,D
95,C
96,D
97,B
98,C
99,A
100,B
101,B
102,B
103,D
104,B
105,B
106,A
107,A
108,C
109,B
110,C
111,D
112,C
113,D
114,B
115,D
116,C
117,C
118,C
119,D
120,C
121,C
122,C
123,A
124,A
125,B
126,C
127,C
128,C
129,B
130,C
131,C
132,B
133,C
134,C
135,A
136,A
137,D
138,B
139,B
140,A
141,B
142,A
143,C
144,C
145,C
146,D
147,A
148,C
149,C
150,A
151,C
152,D
153,D
154,C
155,C
156,D
157,A
158,D
159,C
160,C
161,A
162,C
163,B
164,A
165,A
166,C
167,B
168,D
169,D
170,A
171,D
172,C
173,A
174,C
175,B
176,D
177,B
178,D
179,D
180,B
181,C
182,C
183,C
184,C
185,A
186,D
187,C
188,C
189,B
190,D
191,B
192,C
193,B
194,C
195,B
196,D
197,A
198,D
199,B
200,B
201,B
202,A
203,B
204,D
205,A
206,A
207,D
208,D
209,C
210,C
211,C
212,C
213,D
214,D
215,B
216,B
217,B
218,C
219,D
220,B
221,A
222,C
223,B
224,B
225,D
226,C
227,B
228,A
229,A
230,B
231,D
232,A
233,A
234,D
235,A
236,D
237,D
238,C
239,D
240,A
241,C
242,D
243,A
244,A
245,C
246,B
247,C
248,D
249,A
250,C
251,B
252,D
253,D
254,D
255,D
256,A
257,D
258,D
259,B
260,C
261,D
262,C
263,D
264,D
265,D
266,B
267,C
268,D
269,B
270,D
271,D
272,B
273,D
274,A
275,D
276,D
277,A
278,B
279,C
280,C
281,C
282,A
283,B
284,A
285,C
286,D
287,A
288,A
289,A
290,D
291,C
292,B
293,B
294,B
295,D
296,B
297,A
298,D
299,A
300,C
301,A
302,A
303,B
304,A
305,B
306,C
307,C
308,A
309,B
310,A
311,B
312,B
313,A
314,C
315,A
316,B
317,A
318,B
319,A
320,B
321,D
322,B
323,A
324,C
325,A
326,C
327,A
328,D
329,A
330,C
331,B
332,A
333,D
334,A
335,D
336,D
337,A
338,B
339,C
340,D
341,A
342,C
343,D
344,A
345,B
346,C
347,A
348,D
349,D
350,D
351,B
352,D
353,A
354,C
355,D
356,C
357,A
358,B
359,A
360,A
361,B
362,A
363,A
364,C
365,C
366,B
367,C
368,A
369,D
370,C
371,B
372,C
373,C
374,C
375,B
376,D
377,B
378,D
379,A
380,B
381,C
382,B
383,B
384,B
385,A
386,D
387,D
388,D
389,B
390,B
391,D
392,D
393,D
394,D
395,A
396,D
397,C
398,A
399,C
400,D
401,D
402,D
403,B
404,D
405,B
406,A
407,C
408,C
409,A
410,A
411,A
412,C
413,C
414,A
415,D
416,A
417,B
418,B
419,D
420,B
421,C
422,C
423,D
424,B
425,D
426,B
427,D
428,A
429,B
430,B
431,D
432,A
433,D
434,C
435,C
436,D
437,D
438,C
439,D
440,A
441,D
442,D
443,D
444,C
445,B
446,C
447,B
448,A
449,A
450,A
451,A
452,D
453,B
454,C
455,B
456,C
457,A
458,D
459,C
460,D
461,C
462,D
463,B
464,B
465,B
466,A
467,C
468,A
469,B
470,C
471,C
472,B
473,B
474,D
475,C
476,B
477,D
478,C
479,A
480,B
481,D
482,C
483,D
484,A
485,C
486,C
487,A
488,B
489,A
490,A
491,A
492,D
493,C
494,A
495,B
496,D
497,B
498,C
499,D
500,D
501,A
502,D
503,A
504,A
505,D
506,B
507,D
508,C
509,B
510,C
511,D
512,D
513,A
514,B
515,C
516,D
517,A
518,B
519,C
520,D
521,C
522,C
523,B
524,A
525,D
526,A
527,C
528,D
529,D
530,D
531,B
532,B
533,B
534,D
535,B
536,C
537,B
538,D
539,D
540,D
541,B
542,B
543,B
544,D
545,D
546,B
547,D
548,A
549,A
550,D
551,C
552,D
553,D
554,C
555,D
556,B
557,D
558,B
559,C
560,B
561,A
562,C
563,C
564,A
565,A
566,A
567,B
568,C
569,C
570,B
571,D
572,D
573,A
574,A
575,D
576,A
577,D
578,D
579,D
580,B
581,D
582,C
583,A
584,B
585,A
586,B
587,B
588,C
589,B
590,C
591,A
592,A
593,B
594,A
595,C
596,A
597,A
598,B
599,B
600,A
601,B
602,C
603,A
604,C
605,A
606,D
607,B
608,C
609,C
610,C
611,D
612,B
613,D
614,A
615,D
616,D
617,D
618,B
619,A
620,C
621,A
622,C
623,A
624,C
625,B
626,B
627,A
628,B
629,B
630,B
631,B
632,C
633,C
634,D
635,A
636,A
637,D
638,C
639,D
640,A
641,B
642,D
643,C
644,A
645,D
646,D
647,A
648,C
649,A
650,A
651,A
652,D
653,A
654,C
655,C
656,C
657,B
658,A
659,C
660,D
661,C
662,D
663,A
664,C
665,D
666,D
667,D
668,A
669,D
670,C
671,A
672,A
673,A
674,A
675,D
676,B
677,C
678,D
679,D
680,D
681,A
682,A
683,B
684,D
685,D
686,C
687,C
688,C
689,B
690,A
691,B
692,B
693,A
694,A
695,C
696,D
697,C
698,D
699,A
700,D
701,D
702,D
703,D
704,C
705,B
706,B
707,C
708,B
709,C
710,C
711,D
712,D
713,A
714,D
715,D
716,B
717,A
718,D
719,B
720,C
721,B
722,B
723,C
724,A
725,B
726,D
727,B
728,D
729,D
730,A
731,C
732,D
733,C
734,A
735,A
736,B
737,A
738,A
739,A
740,A
741,A
742,A
743,D
744,B
745,B
746,B
747,B
748,C
749,A
750,C
751,C
752,A
753,B
754,D
755,A
756,B
757,D
758,D
759,A
760,D
761,A
762,C
763,B
764,A
765,D
766,B
767,A
768,D
769,A
770,A
771,A
772,B
773,A
774,A
775,D
776,C
777,B
778,C
779,A
780,D
781,C
782,C
783,D
784,B
785,C
786,C
787,C
788,C
789,D
790,B
791,D
792,B
793,C
794,B
795,A
796,D
797,A
798,B
799,A
800,A
801,B
802,A
803,A
804,D
805,C
806,A
807,C
808,A
809,A
810,B
811,C
812,A
813,A
814,B
815,C
816,D
817,A
818,A
819,D
820,B
821,B
822,A
823,A
824,A
825,B
826,B
827,C
828,D
829,C
830,A
831,C
832,C
833,B
834,D
835,D
836,C
837,C
838,A
839,B
840,B
841,A
842,B
843,C
844,A
845,B
846,D
847,C
848,A
849,C
850,D
851,C
852,A
853,A
854,A
855,D
856,A
857,C
858,D
859,A
860,D
861,A
862,A
863,A
864,C
865,C
866,C
867,C
868,B
869,D
870,A
871,B
872,C
873,D
874,C
875,A
876,D
877,C
878,C
879,C
880,C
881,B
882,B
883,A
884,A
885,D
886,B
887,C
888,C
889,C
890,B
891,C
892,C
893,A
894,A
895,D
896,A
897,C
898,D
899,D
900,A
901,A
902,D
903,A
904,A
905,A
906,A
907,A
908,C
909,C
910,B
911,B
912,C
913,B
914,A
915,D
916,C
917,B
918,A
919,B
920,B
921,C
922,A
923,A
924,D
925,A
926,C
927,B
928,B
929,B
930,B
931,A
932,A
933,B
934,C
935,C
936,A
937,B
938,B
939,B
940,A
941,B
942,D
943,C
944,A
945,C
946,D
947,A
948,B
949,B
950,D
951,A
952,C
953,B
954,D
955,B
956,A
957,C
958,A
959,A
960,A
961,A
962,B
963,C
964,C
965,A
966,C
967,C
968,B
969,B
970,D
971,D
972,A
973,D
974,C
975,D
976,B
977,C
978,D
979,A
980,D
981,C
982,C
983,D
984,A
985,D
986,B
987,C
988,D
989,D
990,B
991,D
992,B
993,B
994,D
995,C
996,A
997,A
998,C
999,D
1000,A
1001,C
1002,A
1003,C
1004,D
1005,B
1006,C
1007,B
1008,D
1009,A
1010,A
1011,D
1012,B
1013,D
1014,C
1015,B
1016,C
1017,A
1018,B
1019,B
1020,A
1021,A
1022,C
1023,C
1024,B
1025,D
1026,C
1027,C
1028,B
1029,D
1030,B
1031,D
1032,C
1033,A
1034,D
1035,D
1036,A
1037,C
1038,D
1039,C
1040,A
1041,A
1042,A
1043,D
1044,B
1045,D
1046,A
1047,C
1048,A
1049,B
1050,A
1051,D
1052,C
1053,C
1054,C
1055,C
1056,A
1057,C
1058,C
1059,B
1060,B
1061,C
1062,B
1063,D
1064,D
1065,C
1066,D
1067,C
1068,A
1069,A
1070,C
1071,C
1072,C
1073,D
1074,B
1075,D
1076,D
1077,B
1078,C
1079,A
1080,C
1081,A
1082,B
1083,C
1084,C
1085,A
1086,C
1087,B
1088,D
1089,D
1090,C
1091,B
1092,A
1093,D
1094,C
1095,A
1096,C
1097,B
1098,B
1099,D
1100,D
1101,C
1102,A
1103,D
1104,C
1105,B
1106,C
1107,B
1108,A
1109,A
1110,D
1111,C
1112,C
1113,C
1114,C
1115,C
1116,A
1117,D
1118,A
1119,A
1120,A
1121,A
1122,B
1123,A
1124,A
1125,C
1126,B
1127,C
1128,C
1129,C
1130,A
1131,C
1132,C
1133,B
1134,A
1135,B
1136,B
1137,C
1138,D
1139,B
1140,D
1141,A
1142,C
1143,D
1144,A
1145,B
1146,A
1147,A
1148,C
1149,B
1150,A
1151,D
1152,B
1153,A
1154,A
1155,D
1156,A
1157,D
1158,D
1159,C
1160,D
1161,D
1162,B
1163,D
1164,D
1165,A
1166,C
1167,A
1168,C
1169,D
1170,C
1171,D
1172,C
1173,A
1174,D
1175,A
1176,C
1177,D
1178,B
1179,C
1180,B
1181,B
1182,A
1183,A
1184,A
1185,B
1186,C
1187,D
1188,B
1189,D
1190,A
1191,C
1192,B
1193,A
1194,C
1195,C
1196,D
1197,D
1198,A
1199,C
1200,A
1201,A
1202,C
1203,D
1204,B
1205,C
1206,C
1207,A
1208,C
1209,B
1210,B
1211,D
1212,D
1213,C
1214,A
1215,B
1216,B
1217,C
1218,A
1219,B
1220,D
1221,D
1222,C
1223,A
1224,B
1225,B
1226,A
1227,A
1228,C
1229,C
1230,D
1231,A
1232,D
1233,C
1234,B
1235,B
1236,D
1237,A
1238,D
1239,D
1240,C
1241,B
1242,C
1243,C
1244,D
1245,A
1246,A
1247,A
1248,C
1249,A
1250,C
1251,A
1252,B
1253,D
1254,B
1255,B
1256,B
1257,A
1258,C
1259,D
1260,A
1261,A
1262,C
1263,D
1264,D
1265,A
1266,A
1267,B
1268,D
1269,C
